"des","pitcher_name","pitch_type","start_speed","end_speed"
"Ball","Phil Hughes","FF","92.3","83.8"
"Called Strike","Phil Hughes","FF","91.8","83.1"
"Called Strike","Phil Hughes","FF","91.8","83.7"
"Swinging Strike","Phil Hughes","FF","91.7","83.8"
"Ball","Phil Hughes","FF","92.9","85.3"
"Called Strike","Phil Hughes","FF","92.4","84.1"
"Called Strike","Phil Hughes","FF","92.1","84.5"
"Ball","Phil Hughes","FF","90.9","82.6"
"Ball","Phil Hughes","FF","91.2","83.1"
"Swinging Strike","Phil Hughes","FF","91.4","84.0"
"Foul","Phil Hughes","FF","92.1","82.8"
"Foul","Phil Hughes","FF","90.3","82.5"
"Foul","Phil Hughes","FF","91.9","84.9"
"Called Strike","Phil Hughes","FF","90.5","82.7"
"Ball","Phil Hughes","FF","88.1","81.4"
"Called Strike","Phil Hughes","FF","90.7","84.4"
"Foul","Phil Hughes","FF","91.6","84.5"
"Foul","Phil Hughes","FF","91.0","84.0"
"Called Strike","Phil Hughes","FF","90.8","83.3"
"Ball","Phil Hughes","FF","91.5","83.4"
"In play, no out","Phil Hughes","FF","90.7","83.4"
"Called Strike","Phil Hughes","FF","91.1","84.8"
"Ball","Phil Hughes","FF","90.3","83.6"
"Called Strike","Phil Hughes","FF","91.4","83.6"
"Foul","Phil Hughes","FF","90.4","82.8"
"Foul","Phil Hughes","FF","91.1","82.4"
"Called Strike","Phil Hughes","FF","87.8","80.4"
"Ball","Phil Hughes","FF","89.0","80.5"
"Foul Bunt","Phil Hughes","FF","88.3","81.0"
"Foul","Phil Hughes","FF","89.4","81.6"
"In play, out(s)","Phil Hughes","FF","89.7","82.1"
"Called Strike","Phil Hughes","FF","89.8","82.8"
"In play, out(s)","Phil Hughes","FF","89.6","83.3"
"Foul","Phil Hughes","FF","88.0","80.7"
"In play, out(s)","Phil Hughes","FF","88.9","81.3"
"Ball","Phil Hughes","FF","89.1","81.0"
"Ball","Phil Hughes","FC","85.3","79.5"
"Foul","Phil Hughes","FF","90.5","83.0"
"In play, out(s)","Phil Hughes","FF","89.6","82.6"
"Foul","Phil Hughes","FF","89.4","81.6"
"In play, out(s)","Phil Hughes","FF","89.7","81.9"
"Called Strike","Mariano Rivera","FC","90.4","84.1"
"Foul","Mariano Rivera","FC","90.8","84.4"
